Latitude And Longitude,Name of Agency,Description,Ward Number,Phone Number,Working Hours,Other Details
"13.042250, 77.496390",ITC,"Waste Collection Agency commissioned by BBMP, for the Chokkasandra ward.",39,"+91 9535865992

",,
,,"Waste Collection Agency commissioned by BBMP, for the Dodda Bidarakallu ward.",40,busy,,
"13.015028, 77.514988",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Peenya Industrial Area ward.",41,+91 7795440840,,
,,"Waste Collection Agency commissioned by BBMP, for the Lakshmi Devi Nagar ward.",42,busy,,
"13.015001, 77.537155",Hasirudala," Waste Collection Agency commissioned by BBMP, for the Nandini Layout ward.",43,+91 9060689529,,
"13.016029, 77.549990",Hasirudala," Waste Collection Agency commissioned by BBMP, for the Marrappanhalli ward.",44,+91 9060689529,,
"13.016013, 77.555002",Mr. Venkatesh," Waste Collection Agency commissioned by BBMP, for the Malleshwaram ward.",45,+91 9741348298,,
,,"Waste Collection Agency commissioned by BBMP, for the Jayachamrajendra Nagar ward.",46,22975523,,
"13.016480, 77.603020",Azam,"Waste Collection Agency commissioned by BBMP, for the Devara Jeevanahalli ward.",47,+91 9632331333,,
"13.029750, 77.608710",Naveed pasha,"Waste Collection Agency commissioned by BBMP, for the Muneshwara Nagar ward.",48,+91 9341073009,,
"13.033260, 77.608900",Syed Rafic,"Waste Collection Agency commissioned by BBMP, for the Lingarajapura ward.",49,+91 9535992786,,
"13.001660, 77.662730",Raghuram,"Waste Collection Agency commissioned by BBMP, for the Benniganahalli ward.",50,+91 9632951487,,
,,"Waste Collection Agency commissioned by BBMP, for the Vignanapura ward.",51,,,
"13.007099, 77.694902",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the K R Puram ward.",52,+91 9885237464,,
"13.007099, 77.694902",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Basavanapura ward.",53,-,,
,,"Waste Collection Agency commissioned by BBMP, for the Hoodi ward.",54,,,
"13.007099, 77.694902",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Devasandra ward.",55,+91 9885237464,,
"12.995039, 77.675990",Waste Wise Trust,"Waste Collection Agency commissioned by BBMP, for the A Narayanapura ward.",56,+91 9972850438,,
"12.968420, 77.692530",Vijay kumar,"Waste Collection Agency commissioned by BBMP, for the CV Raman Nagar ward.",57,+91 9880671374,,
"12.987560, 77.655830",ITC,"Waste Collection Agency commissioned by BBMP, for the New Tippu Sandra ward.",58,+91 9885237464,,
"13.004580, 77.624210",Anji,"Waste Collection Agency commissioned by BBMP, for the Maruthi Seva Nagar ward.",59,+91 9591039324,,
"13.034550, 77.639020",Grace,"Waste Collection Agency commissioned by BBMP, for the Sagayara Puram ward.",60,+91 9902266299,,
"13.000420, 77.609600",Dhanraj,"Waste Collection Agency commissioned by BBMP, for the SK Garden ward.",61,+91 9035457688,,
"13.001220, 77.599800",Niranjan Entreprises,"Waste Collection Agency commissioned by BBMP, for the Ramaswamy Palya ward.",62,+91 9845118384,,
,,"Waste Collection Agency commissioned by BBMP, for the Jayamahal ward.",63,,,
"12.998995, 77.574003",Smt. Gowramma," Waste Collection Agency commissioned by BBMP, for the Rajmahal ward.",64,+91 9206622738,,
"13.006991, 77.573986",Hasirudala," Waste Collection Agency commissioned by BBMP, for the Kadumalleshwara ward.",65,+91 7829777737,,
,,"Waste Collection Agency commissioned by BBMP, for the Subramanyanagar ward.",66,,,
"13.003994, 77.543028",R. Ranganath," Waste Collection Agency commissioned by BBMP, for the Nagapura ward.",67,+91 9343403995,,
"13.008998, 77.543979",Namana Foundation," Waste Collection Agency commissioned by BBMP, for the Mahalakshmipuram ward.",68,+91 9035172874,,
,,"Waste Collection Agency commissioned by BBMP, for the Laggere ward.",69,,,
"12.999991, 77.514902",ITC E-Shree Foundation,"Waste Collection Agency commissioned by BBMP, for the Rajagopalanagar ward.",70,-,,
"13.006019, 77.502987",ITC,"Waste Collection Agency commissioned by BBMP, for the Hegganahalli ward.",71,+91 8073057903,,
"12.963956, 77.486951",ITC,"Waste Collection Agency commissioned by BBMP, for the Herohalli ward.",72,+91 9741533700,,
"12.993061, 77.523018",Krishnamurthy,"Waste Collection Agency commissioned by BBMP, for the Kottigepalya ward.",73,+91 9742758333,,
"12.994989, 77.526010",M N Mayanna Gowda," Waste Collection Agency commissioned by BBMP, for the Shakthiganapathinagar ward.",74,+91 9342814059,,
"12.998995, 77.528992",Nagraj," Waste Collection Agency commissioned by BBMP, for the Shankar Mata ward.",75,+91 9986887973,,
"12.996006, 77.561007",Hasirudala," Waste Collection Agency commissioned by BBMP, for the Gayathri Nagar ward.",76,+91 9060689529,,
"13.002006, 77.572004",ITC," Waste Collection Agency commissioned by BBMP, for the Dattathreya Temple ward.",77,+91 9632489689,,
"12.987240, 77.619220",Mariyappan,"Waste Collection Agency commissioned by BBMP, for the Pulakeshi Nagar ward.",78,+91 9535477191,,
"12.848168, 77.653205",Lakshman,"Waste Collection Agency commissioned by BBMP, for the Sarvagna Nagar ward.",79,+91 9739835795,,
"12.997380, 77.629460",NGO Seva Trust,"Waste Collection Agency commissioned by BBMP, for the Hoysala Nagar ward.",80,+91 9980836308,,
,,"Waste Collection Agency commissioned by BBMP, for the Vignananagar ward.",81,,,
"12.999173, 77.695925",Mahadevpura Mahila Okkuta,"Waste Collection Agency commissioned by BBMP, for the Garudacharpalya ward.",82,+91 9632581816,,
,,"Waste Collection Agency commissioned by BBMP, for the Kadugodi ward.",83,,,
"12.975142, 77.762124",Waste Management Solutions,"Waste Collection Agency commissioned by BBMP, for the Hagadooru ward.",84,+91 8867764936,,
,,"Waste Collection Agency commissioned by BBMP, for the Doddanekundi ward.",85,,,
,,"Waste Collection Agency commissioned by BBMP, for the Marathahalli ward.",86,,,
,,"Waste Collection Agency commissioned by BBMP, for the HAL Airport Road ward.",87,,,
"12.960640, 77.640930",NGO Seva Trust,"Waste Collection Agency commissioned by BBMP, for the JeevanBhima Nagar ward.",88,+91 9980836308,,
"12.975460, 77.623760",N S Entreprises-Sami ulla,"Waste Collection Agency commissioned by BBMP, for the Jogupalya ward.",89,+91 9886606266,,
"12.975020, 77.625320","Rtd, PK family","Waste Collection Agency commissioned by BBMP, for the Halsoor ward.",90,+91 9964004282,,
,,"Waste Collection Agency commissioned by BBMP, for the Bharathi Nagar ward.",91,,,
,,"Waste Collection Agency commissioned by BBMP, for the Shivaji Nagar ward.",92,,,
"13.087020, 77.581350",Chinnaswamy,"Waste Collection Agency commissioned by BBMP, for the Vasanth Nagar ward.",93,+91 9738167677,,
"12.977015, 77.580975",Sri Ganesh," Waste Collection Agency commissioned by BBMP, for the Gandhinagar ward.",94,+91 7411188863,,
"13.014570, 77.583970",Hasiru Dala,"Waste Collection Agency commissioned by BBMP, for the Subhash Nagar ward.",95,+91 9060689529,,
"12.957774, 77.641966",Sharavana,"Waste Collection Agency commissioned by BBMP, for the Okalipuram ward.",96,+91 8867050559,,
"12.997121, 77.556545",Swatch Foundation,"Waste Collection Agency commissioned by BBMP, for the Dayananda Nagar ward.",97,+91 8904170245,,
"12.997121, 77.556545",Namana Foundation,"Waste Collection Agency commissioned by BBMP, for the Prakash Nagar ward.",98,+91 9742758333,,
"13.002460, 77.553860",Swach Eco solution,"Waste Collection Agency commissioned by BBMP, for the Rajaji Nagar ward.",99,+91 8123423378,,
"12.984240, 77.525180",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",101,-,,
"12.991280, 77.534210",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",102,+91 9060689529,,
"12.946660, 77.542300",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",103,+91 9060689529,,
"12.957100, 77.532040",Mr. Salman Khan,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",104,+91 9066541139,,
"12.933930, 77.583662",Mr. Hemanth,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",105,+91 7204713055,,
"12.978060, 77.548920",Govinda pillai,"Waste Collection Agency commissioned by BBMP, for the Dr. Rajkumar ward.",106,+91 7829806155,,
,,"Waste Collection Agency commissioned by BBMP, for the Shivanagar ward.",107,,,
"13.007670, 77.575730",Swatch Foundation,"Waste Collection Agency commissioned by BBMP, for the Srirammandira ward.",108,+91 9480680110,,
"12.980350, 77.579659",Hasiru Dala,"Waste Collection Agency commissioned by BBMP, for the Chikpet ward.",109,+91 7829777737,,
"12.980010, 77.602780",ITC," Waste Collection Agency commissioned by BBMP, for the Sampangiramnagar ward.",110,+91 9108569544,,
"12.961530, 77.614780",Manjunath," Waste Collection Agency commissioned by BBMP, for the Shanthalanagar ward.",111,+91 8105853829,,
"12.960700, 77.641810",Ashoka Bio Green Pvt Ltd," Waste Collection Agency commissioned by BBMP, for the Domlur ward.",112,+91 9686660565,,
"12.961470, 77.640750",Waste Wise Trust," Waste Collection Agency commissioned by BBMP, for the Domlur ward.",112,+91 9738888512,,
"12.961470, 77.640750",NGO Seva Trust," Waste Collection Agency commissioned by BBMP, for the Konena Agrahara ward.",113,+91 9980836308,,
"12.973057, 77.607448",Om Shakthi Entreprices- Sanjeev,"Waste Collection Agency commissioned by BBMP, for the Agraram ward.",114,+91 9980941201,,
"12.942985, 77.542955",Om Shakthi Entreprices- Sanjeev,"Waste Collection Agency commissioned by BBMP, for the Vannarpet ward.",115,+91 9980941201,,
"12.957260, 77.612120",Om Shakthi Entreprices- Sanjeev,"Waste Collection Agency commissioned by BBMP, for the Neelasandra ward.",116,+91 9980941201,,
,,"Waste Collection Agency commissioned by BBMP, for the Shanthinagar ward.",117,,,
"12.956000, 77.581996",Parishud Ventures,"Waste Collection Agency commissioned by BBMP, for the Sudham Nagar ward.",118,+91 9886124007,,
,,"Waste Collection Agency commissioned by BBMP, for the Dharmarayaswamy Temple ward.",119,,,
"12.982500, 77.572670",Sri. R. Kumareshan,"Waste Collection Agency commissioned by BBMP, for the Cottonpet ward.",120,+91 9036623456,,
"12.965701, 77.561580",SAAHAS,"Waste Collection Agency commissioned by BBMP, for the Binnypet ward.",121,+91 9964852677,,
,,"Waste Collection Agency commissioned by BBMP, for the Kempapura Agrahara ward.",122,,,
"12.974013, 77.544994",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Vijaynagar ward.",123,+91 9060603758,,
,,"Waste Collection Agency commissioned by BBMP, for the Hosahalli ward.",124,,,
"12.976130, 77.538650",Ramesh,"Waste Collection Agency commissioned by BBMP, for the Marenahalli ward.",125,+91 9535152268,,
"12.964005, 77.524290",Namana Foundation,"Waste Collection Agency commissioned by BBMP, for the Maruthi Mandira ward.",126,+91 9060689529,,
"12.946010, 77.542970",Mr. Akbar Khan,"Waste Collection Agency commissioned by BBMP, for the Moodapalya ward.",127,+91 8147207152,,
"12.927630, 77.524630",Swachha Eco Solutions,"Waste Collection Agency commissioned by BBMP, for the Nagarabhavi ward.",128,+91 7795571650,,
,,"Waste Collection Agency commissioned by BBMP, for the Jnanabharathi ward.",129,,,
"12.932148, 77.490951",ITC,"Waste Collection Agency commissioned by BBMP, for the Ullalu ward.",130,+91 9880240038,,
,,"Waste Collection Agency commissioned by BBMP, for the Nayandahalli ward.",131,,,
"12.956001, 77.529000",Samarthanam Trust Foundation,"Waste Collection Agency commissioned by BBMP, for the Attiguppe ward.",132,+91 9844122219,,
"12.951011, 77.537988",Tiru,"Waste Collection Agency commissioned by BBMP, for the Hampinagar ward.",133,-,,
,,"Waste Collection Agency commissioned by BBMP, for the Bapujinagar ward.",134,,,
"12.984413, 77.561367",Nayim Pasha,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",135,+91 9035882909,,
"13.002143, 77.483434",Nadeem Pasha,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",136,+91 9845488410,,
"12.867930, 77.569710",Nadeem Pasha,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",137,+91 9845488410,,
"13.038140, 77.604660",Wasim,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",138,+91 9343157360,,
"12.964840, 77.577050",VAZEER,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",139,+91 9035425782,,
"12.955900, 77.557990",Mrs. Palini Servicess,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",140,+91 9972868480,,
"12.952241, 77.551732",Mr. Lalu,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",141,+91 9342585991,,
"12.952013, 77.573978",Parishud Ventures,"Waste Collection Agency commissioned by BBMP, for the Sunkenahalli ward.",142,+91 9886124007,,
"12.953008, 77.574000",Parishud Ventures,"Waste Collection Agency commissioned by BBMP, for the Vishveshwarapuram ward.",143,+91 9886124007,,
"12.943986, 77.600019",Manjunatha Enterprises,"Waste Collection Agency commissioned by BBMP, for the Siddapura ward.",144,+91 9886977753,,
"12.943986, 77.600019",Manjunatha Enterprises,"Waste Collection Agency commissioned by BBMP, for the Hombegowdanagar ward.",145,+91 9886977753,,
"12.940999, 77.602003",Saahas,"Waste Collection Agency commissioned by BBMP, for the Lakkasandra ward.",146,+91 7022000410,,
"12.946998, 77.618008",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Adugodi ward.",147,-,,
"12.950013, 77.621014",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Ejipura ward.",148,-,,
"12.921716, 77.717677",-,"Waste Collection Agency commissioned by BBMP, for the Varthur ward.",149,-,,
"12.909125, 77.695066",-,"Waste Collection Agency commissioned by BBMP, for the Bellandur ward.",150,-,,
"12.933991, 77.615003",Samarthanam and SAHAS,"Waste Collection Agency commissioned by BBMP, for the Kormangla ward.",151,+91 9844122219,,
"12.926999, 77.601989",Samarthanam Trust,"Waste Collection Agency commissioned by BBMP, for the Sudduguntepalya ward.",152,-,,
"12.943986, 77.600019",Manjunatha Enterprises,"Waste Collection Agency commissioned by BBMP, for the Jayanagar ward.",153,+91 9886977753,,
,,"Waste Collection Agency commissioned by BBMP, for the Basavangudi ward.",154,,,
"12.948987, 77.559045",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Hanumanthanagar ward.",155,-,,
"12.948004, 77.552997",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Srinagar ward.",156,-,,
"12.946008, 77.548006",Curds,"Waste Collection Agency commissioned by BBMP, for the Gali Anjaneya Swamy ward.",157,+91 9686464915,,
"12.943027, 77.544000",Samarthanam Trust,"Waste Collection Agency commissioned by BBMP, for the Deepanjali Nagar ward.",158,+91 9844122219,,
"12.914997, 77.481971",ITC,"Waste Collection Agency commissioned by BBMP, for the Kengeri ward.",159,+91 9740643427,,
"12.933022, 77.514009",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Rajarajeshwari Nagar ward.",160,+91 9060689529,,
"12.906989, 77.557002",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Hosakerehalli ward.",161,+91 9060603758,,
"12.935994, 77.540000",Vinayaka Paper Mart,"Waste Collection Agency commissioned by BBMP, for the Girinagar ward.",162,+91 9448606055,,
"12.934002, 77.553002",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Katriguppe ward.",163,+91 9742112362,,
"12.931970, 77.562950",KK Plastics,"Waste Collection Agency commissioned by BBMP, for the Vidyapeetha ward.",164,+91 8453548475,,
"12.927010, 77.569997",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Ganesh Mandira ward.",165,-,,
"12.918004, 77.570004",Asha,"Waste Collection Agency commissioned by BBMP, for the Karisandra ward.",166,+91 9845407074,,
"12.933014, 77.576982",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Yediyuru ward.",167,+91 9060603758,,
"12.932011, 77.579994",Mytri Sarva Seva Samithi,"Waste Collection Agency commissioned by BBMP, for the Pattabhiramnagar ward.",168,+91 7829777737,,
"12.932011, 77.579994",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Byrasandra ward.",169,+91 9986808866,,
"12.916984, 77.599994",Sri Bhagvan Mahaveer Jain Educational and Cultural Trust,"Waste Collection Agency commissioned by BBMP, for the Jayanagar East ward.",170,+91 9341486567,,
"12.916984, 77.599994",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Gurrappanpalya ward.",171,+91 9341486567,,
"12.923002, 77.613992",Samarthanam Trust,"Waste Collection Agency commissioned by BBMP, for the Madiwala ward.",172,+91 7795094214,,
,,"Waste Collection Agency commissioned by BBMP, for the Jakkasandra ward.",173,,,
"12.913030, 77.648993",ITC (Samarthanam),"Waste Collection Agency commissioned by BBMP, for the HSR Layout ward.",174,+91 8025721444,,
"12.883064, 77.615976",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Bommanahalli ward.",175,+91 9632376212,,
"12.918003, 77.623041",Samarthanam Trust,"Waste Collection Agency commissioned by BBMP, for the BTM Layout ward.",176,+91 8886002487,,
"12.916984, 77.599994",Sri Bhagvan Mahaveer Jain Educational and Cultural Trust,"Waste Collection Agency commissioned by BBMP, for the J P Nagar ward.",177,+91 9341486567,,
"12.907017, 77.577001",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Sarakki ward.",178,-,,
"12.921000, 77.580998",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Shakambarinagar ward.",179,+91 9035411558,,
"12.918009, 77.565058",KK Plastics Waste Management Ltd.,"Waste Collection Agency commissioned by BBMP, for the Banashankari Temple ward.",180,-,,
"12.903008, 77.560986",Dream India Trust,"Waste Collection Agency commissioned by BBMP, for the Kumarswamy Layout ward.",181,+91 9066349727,,
"12.905999, 77.550999",Dream India Trust,"Waste Collection Agency commissioned by BBMP, for the Padmanabhanagar ward.",182,+91 9740333054,,
"12.919991, 77.547015",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Chikkallasandra ward.",183,+91 9742112362,,
"12.903112, 77.539052",Sri Sai Enterprises,"Waste Collection Agency commissioned by BBMP, for the Uttarahalli ward.",184,+91 8105170663,,
,,"Waste Collection Agency commissioned by BBMP, for the Yelachenahalli ward.",185,,,
,,"Waste Collection Agency commissioned by BBMP, for the Jaraganahalli ward.",186,,,
"12.870103, 77.602106",AS Traders,"Waste Collection Agency commissioned by BBMP, for the Puttenahalli ward.",187,+91 9945070313,,
"12.882934, 77.616017",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Bilekahalli ward.",188,+91 8025721444,,
"12.882934, 77.616017",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Hongasandra ward.",189,+91 9538681913,,
"12.894042, 77.646041",Manjunatha Enterprises,"Waste Collection Agency commissioned by BBMP, for the Mangammanapalya ward.",190,+91 8748886888,,
"12.871712, 77.652317",Samarthanam,"Waste Collection Agency commissioned by BBMP, for the Singasandra ward.",191,+91 8025721444,,
"12.872985, 77.627004",KK Plastics,"Waste Collection Agency commissioned by BBMP, for the Begur ward.",192,+91 9886505811,,
"12.877005, 77.615976",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Arakere ward.",193,+91 9845310038,,
"12.857051, 77.594928",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Gottigere ward.",194,+91 9108789759,,
"12.857051, 77.594928",Hasirudala,"Waste Collection Agency commissioned by BBMP, for the Konankunte ward.",195,+91 9164129430,,
"12.868097, 77.563049",KK Plastics,"Waste Collection Agency commissioned by BBMP, for the Anjanapura ward.",196,+91 9886505899,,
"12.878978, 77.558049",KK Plastics,"Waste Collection Agency commissioned by BBMP, for the Vasanthpura ward.",197,+91 9886505811,,
"12.878023, 77.541984",Venkatesh,"Waste Collection Agency commissioned by BBMP, for the Hemmigepura ward.",198,+91 8310280062,,
